<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.03.06	198.74	199.47	192.32	194.86	64211	0	0
2023.03.07	193.76	194.20	186.11	189.52	76240	0	0
2023.03.08	186.17	187.46	180.01	181.95	80357	0	0
2023.03.09	176.80	185.16	173.02	173.99	90472	0	0
2023.03.10	172.98	178.28	168.46	173.00	111953	0	0
2023.03.13	172.87	177.34	163.93	175.36	158603	0	0
2023.03.14	175.02	183.80	173.81	181.12	83934	0	0
2023.03.15	178.47	182.32	176.05	180.07	117526	0	0
2023.03.16	181.05	185.80	178.85	184.43	77390	0	0
2023.03.17	185.24	186.19	177.33	179.98	86733	0	0
2023.03.20	179.38	186.44	176.37	183.21	92990	0	0
2023.03.21	185.22	197.99	185.07	197.42	70897	0	0
2023.03.22	197.61	200.63	193.48	193.52	96722	0	0
2023.03.23	195.94	199.30	188.66	191.41	87773	0	0
2023.03.24	190.31	192.34	187.17	189.87	76451	0	0
2023.03.27	191.96	197.38	189.96	192.95	71680	0	0
2023.03.28	192.69	192.98	185.44	188.89	50254	0	0
2023.03.29	191.91	195.28	189.45	193.29	49325	0	0
2023.03.30	195.08	197.31	194.44	195.85	49285	0	0
2023.03.31	195.89	207.78	195.24	206.28	57241	0	0
2023.04.03	203.97	204.47	192.21	194.70	73403	0	0
2023.04.04	197.69	198.73	190.32	191.27	77022	0	0
2023.04.05	191.55	193.98	183.77	186.27	63416	0	0
2023.04.06	184.25	186.38	179.75	185.22	58089	0	0
2023.04.10	184.97	185.09	176.12	184.30	59462	0	0
2023.04.11	187.57	189.19	185.50	187.30	50708	0	0
2023.04.12	186.06	191.58	180.34	181.42	70248	0	0
2023.04.13	181.90	186.49	180.95	186.00	48940	0	0
2023.04.14	183.11	186.27	182.01	185.19	48648	0	0
2023.04.17	185.97	189.68	182.71	186.79	49931	0	0
2023.04.18	188.11	188.56	183.59	184.86	38233	0	0
2023.04.19	179.45	183.49	177.69	181.97	42631	0	0
2023.04.20	167.60	169.54	160.57	161.24	74815	0	0
2023.04.21	165.32	165.99	161.32	164.99	45161	0	0
2023.04.24	163.48	165.65	158.62	162.81	45839	0	0
2023.04.25	160.08	163.46	158.76	161.13	42558	0	0
2023.04.26	161.99	162.02	153.22	154.06	51646	0	0
2023.04.27	154.92	160.28	151.74	159.81	54428	0	0
2023.04.28	158.26	164.99	157.33	164.04	46746	0	0
2023.05.01	163.57	164.25	158.84	161.44	39826	0	0
2023.05.02	162.40	165.47	158.94	159.40	50787	0	0
2023.05.03	160.66	164.99	159.91	160.81	59535	0	0
2023.05.04	162.24	163.24	159.66	161.38	50098	0	0
2023.05.05	162.33	170.76	161.91	169.99	39401	0	0
2023.05.08	172.09	174.42	169.19	171.62	50641	0	0
2023.05.09	170.05	170.35	166.56	168.88	39400	0	0
2023.05.10	168.89	174.42	166.69	169.37	59977	0	0
2023.05.11	169.76	171.77	166.80	171.59	49031	0	0
2023.05.12	174.27	177.37	167.23	168.49	74107	0	0
2023.05.15	169.16	169.75	164.55	165.67	50843	0	0
2023.05.16	166.81	169.51	164.36	167.24	42978	0	0
2023.05.17	168.95	174.49	167.19	174.27	49527	0	0
2023.05.18	175.33	176.56	172.46	176.51	48958	0	0
2023.05.19	178.29	181.94	176.33	179.96	56173	0	0
2023.05.22	180.85	189.31	179.76	188.96	55031	0	0
2023.05.23	187.48	192.96	185.27	186.05	67963	0	0
2023.05.24	183.86	184.20	178.23	183.71	69127	0	0
2023.05.25	186.42	187.24	180.58	184.79	62075	0	0
2023.05.26	185.39	198.59	184.15	193.58	66098	0	0
2023.05.30	198.73	204.47	197.54	201.06	76126	0	0
2023.05.31	199.87	202.98	195.13	199.80	65112	0	0
2023.06.01	202.08	209.79	199.39	208.04	77659	0	0
2023.06.02	210.16	217.23	209.77	214.84	70835	0	0
2023.06.05	215.55	221.27	214.53	218.00	85605	0	0
2023.06.06	216.29	220.97	212.54	219.76	66799	0	0
2023.06.07	225.26	230.82	223.22	223.95	108074	0	0
2023.06.08	226.45	234.50	223.03	234.48	74657	0	0
2023.06.09	244.94	252.41	242.03	244.09	134199	0	0
2023.06.12	248.07	250.96	244.60	249.46	78845	0	0
2023.06.13	251.73	259.67	250.55	257.99	100592	0	0
2023.06.14	263.52	264.85	250.51	255.30	103060	0	0
2023.06.15	248.82	258.94	247.31	255.96	112330	0	0
2023.06.16	257.09	263.59	255.87	260.83	108325	0	0
2023.06.20	257.83	273.70	257.73	273.52	78194	0	0
2023.06.21	278.33	279.46	257.80	261.20	143797	0	0
2023.06.22	255.91	264.77	248.28	264.04	124408	0	0
2023.06.23	260.70	263.02	252.84	255.31	112961	0	0
2023.06.26	251.34	258.35	241.83	242.26	136706	0	0
2023.06.27	244.67	250.14	240.83	249.43	339317	0	0
2023.06.28	248.43	259.87	248.23	255.74	363035	0	0
2023.06.29	260.29	261.45	253.59	255.93	342757	0	0
2023.06.30	258.93	264.43	258.37	262.42	208258	0	0
